;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Podsumowanie;4 803;XX;5 719;152 ;401;174;394 ;377 ;222 ;383 ;461 ;32;42;264 ;106 ;338 ;84 ;171 ;120 ;153;68 ;193 ;130 ;6 ;572 ;80;5 ;200 ;138 ;175 ;278 ;;;;;;
;;;;Pozostało;5511;5110;4936;4542;4164;3942;3559;3098;3067;3024;2761;2655;2316;2233;2061;1942;1789;1721;1528;1397;1391;820;740;735;535;397;222;-56;;;;;;
;;;;Pozostało (plan);5511;5314;5117;4920;4724;4527;4330;4133;3936;3739;3543;3346;3149;2952;2755;2559;2362;2165;1968;1771;1575;1378;1181;984;787;590;394;197;;;;;;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;#DIV/0!;100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 563,18;101,8%;5 663,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 563,18;101,8%;5 663,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;4 803,16;119,1%;5 719,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;760,02;-7,4%;-56,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zostało dni:;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowany maksymalny wydatek na dzień:;;;-9,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
