;Prezenty (także świąteczne);500 zł;82,0%;410 zł;;250;;;;;;;;;;;;;;;;;;;;;;;;;30;;;130;
;Kieszonkowe (mąż, żona, dzieci);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);190 zł;98,6%;187 zł;;;;;21;;;14;;;;;;;;25;;;25;;;;;;;12;;;90;;
;Inne;0 zł;#DIV/0!;12 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
;Podsumowanie;4 652 zł;XX;4 025 zł;178 ;314 ;37 ;68 ;54 ;55;79 ;101 ;180 ;18 ;44 ;101 ;232;18;100 ;250 ;51 ;52 ;159 ;80;16;51 ;108 ;106 ;382 ;211 ;147;91;343 ;372 ;28 
;;;;Pozostało;5145;4831;4794;4726;4672;4617;4538;4438;4257;4240;4195;4095;3863;3845;3744;3494;3443;3391;3232;3152;3136;3085;2977;2871;2489;2278;2131;2041;1698;1326;1298
;;;;Pozostało (plan);5145;4995;4845;4695;4544;4394;4244;4094;3944;3794;3644;3494;3344;3194;3044;2894;2744;2594;2444;2293;2143;1993;1843;1693;1543;1393;1243;1093;943;793;643
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 323,18 zł;100,0%;5 323,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5678
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 323,18 zł;100,0%;5 323,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 323,18 zł;100,0%;5 323,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;4 652,09 zł;86,5%;4 025,00 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;671,09 zł;193,4%;1 298,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zostało dni:;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowany maksymalny wydatek na dzień:;;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowana maksymalna suma na dzień:;;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
