;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);150;165,3%;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;198;50;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);200;153,9%;308;;;;;;;;120;;;;;17;;;60;;-60;;;;;;;;;44;126;;;;;;
;Inne;400;21,0%;84;;;;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;
;Podsumowanie;5 243;XX;5 589;49 ;19;200;203 ;244 ;394 ;99 ;636 ;170;15;106 ;176 ;152 ;233 ;193 ;127;132;20 ;154 ;6 ;174 ;244 ;103 ;55;26 ;184 ;281 ;454 ;388 ;189;139;17 ;8 ;
;;;;Pozostało;5323;5274;5255;5055;4852;4608;4214;4115;3479;3309;3294;3188;3012;2859;2626;2433;2306;2175;2154;2000;1995;1821;1577;1474;1419;1394;1209;928;475;86;-102;-241;-258;
;;;;Pozostało (plan);5323;5162;5001;4839;4678;4517;4355;4194;4033;3871;3710;3549;3387;3226;3065;2904;2742;2581;2420;2258;2097;1936;1774;1613;1452;1290;1129;968;807;645;484;323;161;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 323,18;100,0%;5 323,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 323,18;100,0%;5 323,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 323,18;100,0%;5 323,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;5 243,23;106,6%;5 589,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;79,95;-332,6%;-265,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zostało dni:;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowany maksymalny wydatek na dzień:;;;-265,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
