5. D£UG;Kredyt (ratalny, samochodowy itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;493 zł;100,0%;493 zł;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
;Inne (dług od rodziny, znajomych itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;450 zł;218,8%;985 zł;77;92;;42;;;20;;6;28;;82;36;18;45;102;102;36;;84;12;;63;73;30;;;;;;38
;Wyjazdy i podróże;50 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;550 zł;91,5%;503 zł;;398;;;;;;;105;;;;;;;;;;;;;;;;;;;;;;
;Hobby / Sport / Muzyka;50 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;330 zł;116,7%;385 zł;;;;;270;;;;;;60;;;9;;;;20;;;;;26;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0 zł;;0 zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Oszczęd. na duże zakupy (samochód, meble ..);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;70 zł;117,3%;82 zł;;;;;;;;;;;;20;;46;;;;;;;;;;;;;16;;;;
10. EDUKACJA;Czesne / Przedszkole;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTA£E;Książki i prasa;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);60 zł;100,0%;60 zł;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);172 zł;129,2%;222 zł;;;80;;;2;;90;;;;;;;;;;;;;20;31;;;;;;;;;
;Inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Podsumowanie;4 482 zł;XX;5 310 zł;186 ;859;135;92 ;320 ;47 ;313 ;172 ;174;76;164 ;227 ;80 ;128 ;88 ;151;367;106 ;48 ;146 ;75 ;73 ;198 ;116;603 ;63 ;79 ;55 ;45 ;48;81
;;;;Pozostało;5137;4278;4143;4051;3731;3684;3371;3200;3026;2950;2787;2560;2480;2353;2265;2114;1747;1641;1593;1447;1373;1299;1101;986;383;321;242;186;141;94;13
;;;;Pozostało (plan);5137;4966;4794;4623;4452;4281;4109;3938;3767;3596;3425;3253;3082;2911;2740;2568;2397;2226;2055;1883;1712;1541;1370;1199;1027;856;685;514;342;171;0
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 323,18 zł;100,0%;5 323,18 zł;;;;;5678;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 323,18 zł;100,0%;5 323,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 323,18 zł;100,0%;5 323,18 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;4 482,09 zł;118,5%;5 310,25 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;841,09 zł;1,5%;12,93 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zostało dni:;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowany maksymalny wydatek na dzień:;;;0,46 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Szacowana maksymalna suma na dzień:;;;43,08 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
